index,mzmed,rtmed,matched,qSvsMB,qSvsNC,modelPredicted,predictVal,BLANK-A_0,BLANK-A_0.5,BLANK-A_1,BLANK-A_2,BLANK-A_3,BLANK-A_4,BLANK-A_5,BLANK-A_6,BLANK-A_7,BLANK-A_8,BLANK-A_9,BLANK-A_10,BLANK-A_11,BPF-A1_0,BPF-A1_0.5,BPF-A1_1,BPF-A1_2,BPF-A1_3,BPF-A1_4,BPF-A1_5,BPF-A1_6,BPF-A1_7,BPF-A1_8,BPF-A1_9,BPF-A1_10,BPF-A2_0,BPF-A2_0.5,BPF-A2_1,BPF-A2_2,BPF-A2_3,BPF-A2_4,BPF-A2_5,BPF-A2_6,BPF-A2_7,BPF-A2_8,BPF-A2_9,BPF-A2_10,BPF-B_0,BPF-B_0.5,BPF-B_1,BPF-B_2,BPF-B_3,BPF-B_4,BPF-B_5,BPF-B_6,BPF-B_7,BPF-B_8,BPF-B_9,BPF-B_10
11,11,278.15602488798254,11.878823529411749,0,1.2746516042855958,6.809066784357196,0,0,0.0,727.1837158203125,1401.7699584960938,752.6124877929688,0.0,0.0,0.0,0.0,0.0,0.0,367.2164611816406,1952.29296875,72904.0,0.0,893.8793334960938,820.0,0.0,1077.327880859375,0.0,0.0,972.4783325195312,0.0,0.0,301.78167724609375,509.5651550292969,0.0,724.54345703125,625.5061645507812,1199.5548706054688,0.0,482.6616516113281,0.0,441.5416564941406,0.0,0.0,677.923095703125,1650.4906005859375,1299.6737060546875,678.0416870117188,0.0,1587.2896728515625,798.0252075195312,0.0,0.0,1154.5218505859375,0.0,576.9434814453125,519.196044921875,0.0
12,12,197.8066275953756,0.2172839506172843,0,0.9802419432547427,0.9955907204337631,0,0,27515.3935546875,38251.7060546875,29216.6591796875,27544.9951171875,48553.017578125,58954.244140625,60422.794921875,67537.091796875,59812.533203125,69566.44921875,66604.36328125,67347.8671875,56725.541015625,29609.283203125,27726.310546875,29196.78125,33397.365234375,28728.419921875,62528.78125,63558.94921875,78680.92578125,58033.44140625,61299.755859375,59969.44921875,60049.01171875,30574.48046875,16471.55078125,18250.7138671875,30047.4736328125,36593.126953125,49552.58984375,58408.853515625,53046.79296875,77347.29296875,74940.4921875,84973.86328125,55572.3828125,27704.78515625,26454.978515625,39453.34375,27355.900390625,34571.669921875,65255.736328125,55141.24609375,64580.087890625,56181.9765625,64576.0703125,58350.837890625,58009.40234375
13,13,120.03777405852644,0.030452674897119298,0,0.9836927722447284,1.000328279125295,0,0,71178.01953125,71553.26171875,70466.04296875,70297.27734375,70462.3203125,68729.439453125,70907.390625,65585.775390625,71799.44921875,63283.859375,65425.814453125,64602.736328125,54854.6484375,69044.60546875,70745.6875,68740.59765625,71294.3828125,68996.54296875,69758.1171875,73016.4453125,66754.25,69908.04296875,62148.677734375,65011.017578125,63185.830078125,70073.65234375,66288.166015625,65322.61328125,70520.484375,72534.23046875,64793.341796875,71962.0546875,62149.197265625,67016.27734375,66083.87890625,65871.068359375,61287.037109375,67589.765625,68013.109375,69175.265625,64749.587890625,70431.08203125,69331.15234375,69782.23828125,66048.458984375,62783.408203125,60168.642578125,60723.759765625,69227.33984375
14,14,195.80965637081445,0.22469135802469173,0,0.9825876118627512,1.0045045340287457,0,0,23343.8583984375,31628.4765625,22854.6044921875,22556.0556640625,40300.75,49291.4375,48902.953125,56036.615234375,50278.087890625,55785.958984375,56278.501953125,55283.185546875,44508.13671875,23540.4814453125,23224.2255859375,23122.154296875,27156.984375,24199.6796875,51294.72265625,53561.896484375,63174.904296875,46949.23828125,48785.427734375,48668.9765625,48343.505859375,24392.494140625,13856.600830078125,14606.535888671875,24360.8759765625,29441.7802734375,42197.658203125,47292.669921875,45784.984375,63494.60546875,62346.92578125,68588.84765625,45093.744140625,22860.9482421875,21627.9453125,31535.650390625,22557.1689453125,28521.833984375,53359.6484375,45394.14453125,52334.669921875,47311.765625,51448.501953125,48260.61328125,48138.826171875
15,15,119.0365207342454,6.308230452674871,0,0.9728133039058295,1.0453785861118552,0,0,205160.578125,188536.10546875,114889.0,123873.1953125,211732.0546875,159636.263671875,142230.375,58569.814453125,152619.90625,64414.486328125,63220.4921875,54798.509765625,37866.41015625,148765.921875,109682.67578125,125205.306640625,216319.171875,108469.26953125,149071.87109375,147298.1796875,70530.109375,206501.328125,52820.765625,51811.509765625,54665.056640625,179363.2734375,97414.189453125,153489.23046875,88485.23828125,185412.6640625,144995.046875,182890.546875,56260.568359375,55500.986328125,80102.921875,70053.181640625,50862.359375,88744.68359375,129443.67578125,186765.75,95432.90625,189860.44921875,144074.734375,218304.21875,72748.04296875,60284.82421875,58930.45703125,78476.72265625,127282.77734375
16,16,119.03653296325433,11.087654320987612,0,0.7895853555840571,0.9643457237657621,0,0,511858.5390625,563891.08203125,111485.16015625,245995.875,580522.29296875,570017.736328125,137681.1328125,90940.50390625,145830.4609375,82166.498046875,93837.4453125,70275.22265625,51093.353515625,153436.55859375,115879.34765625,162744.53125,680358.15625,113843.30078125,131877.15625,139820.15234375,96844.28515625,594755.25,63084.7734375,77959.75390625,81933.3828125,416053.0390625,109959.53125,247924.9375,104554.4765625,444322.3046875,528848.65234375,499706.9765625,80004.404296875,81465.884765625,110584.015625,75081.892578125,57572.724609375,97574.359375,110974.640625,474701.99609375,104791.83984375,553391.3046875,129589.890625,598189.30859375,92733.43359375,79535.99609375,71701.669921875,80358.73828125,131863.32421875
17,17,168.9739930580673,1.030041152263373,0,0.7635356535113399,0.9692740766865193,0,0,117126.19921875,105071.70703125,133565.1953125,118333.546875,81568.4453125,71623.0078125,76921.9609375,73724.9609375,68505.697265625,53092.384765625,50676.921875,38231.1015625,42341.7734375,109514.45703125,122115.95703125,118961.42578125,100267.4453125,83129.76171875,71953.5703125,65205.9296875,36063.248046875,52450.18359375,36778.84765625,31377.4453125,31807.087890625,111203.71875,113010.6484375,127996.99609375,91510.046875,87538.62109375,55704.7265625,51823.7490234375,42493.36328125,33252.490234375,31966.294921875,19322.6640625,34408.158203125,69602.84765625,67151.025390625,67013.939453125,68907.72265625,75621.58984375,83459.5390625,82606.51171875,57881.20703125,61843.244140625,54176.259765625,48915.087890625,67923.869140625
18,18,199.80364513004758,0.24238683127572067,0,0.9793474942548455,1.0019238385702105,0,0,13908.845703125,19167.705078125,14643.7998046875,13144.18798828125,24105.080078125,28257.03125,30247.515625,31588.9423828125,27821.134765625,31921.9306640625,31850.7783203125,32385.2060546875,27359.3701171875,14126.84814453125,13679.88525390625,13192.34033203125,15468.76806640625,13932.208984375,30607.57421875,30366.3876953125,36494.3896484375,28039.9404296875,28933.740234375,28067.7919921875,28401.1669921875,14563.9228515625,8579.65283203125,9112.085693359375,15101.123046875,17711.9423828125,23546.416015625,28032.0966796875,25687.2490234375,37205.126953125,35857.5029296875,39838.47265625,27030.66796875,13233.05322265625,12912.8271484375,18192.77587890625,13389.26025390625,16229.59521484375,30682.4306640625,26556.9990234375,30428.7890625,27634.1123046875,30744.5048828125,27781.8154296875,28182.845703125
19,19,293.17576882858907,10.48099173553721,0,2.026310151668377,0.9385376549704022,0,0,34823.1953125,49996.724609375,40274.234375,34945.66015625,41200.6796875,37987.642578125,42299.5,31050.2607421875,38766.357421875,30470.2470703125,25569.375,26256.810546875,26762.109375,34842.0830078125,37426.830078125,31120.986328125,38367.19140625,42964.46484375,40068.298828125,31011.9326171875,29996.109375,39512.138671875,30305.0693359375,24760.181640625,28211.54296875,42201.08203125,68612.6484375,48108.3515625,42194.482421875,39133.90625,45401.3671875,36468.2890625,29551.6689453125,33885.5703125,28642.8349609375,12046.653259277344,26324.1142578125,83871.81640625,74518.53515625,76815.390625,75973.125,94949.765625,85902.99609375,85576.49609375,72883.568359375,57115.49609375,53891.63671875,58167.51953125,69238.234375
20,20,142.96790357676062,1.2308641975308647,0,1.0037544392313866,0.967925115498562,0,0,21105.92578125,22024.298828125,23907.0703125,24018.744140625,27445.3564453125,27181.2158203125,26995.4833984375,22712.162109375,27671.794921875,25029.0419921875,30171.392578125,34487.1748046875,19572.23828125,20711.603515625,22944.4599609375,23268.2021484375,22239.6982421875,25190.384765625,25679.55078125,27168.8515625,29401.6171875,26480.3515625,37609.2666015625,26370.052734375,15995.03466796875,21705.3671875,23769.396484375,23583.1015625,23662.7431640625,27135.3115234375,27608.189453125,25465.970703125,25393.9853515625,34989.83203125,40288.4326171875,32596.1904296875,24590.3583984375,45283.708984375,30038.60107421875,49716.59765625,53862.439453125,15390.0556640625,14039.73486328125,14381.13330078125,37366.373046875,15933.7080078125,14116.6396484375,16203.92724609375,30553.4658203125
21,21,996.0052932299704,1.478600823045267,0,1.3408336403761225,0.9929577551567405,0,0,44802.69921875,88151.62890625,123810.66796875,83797.2412109375,160110.6015625,130456.42578125,133899.125,94307.109375,103181.23046875,73308.216796875,49833.533203125,25154.71484375,12365.68408203125,41939.6953125,56495.27734375,131493.86328125,139768.35546875,126367.5703125,143981.2578125,94752.79296875,58717.162109375,42030.0,15393.708984375,11613.513671875,11423.7548828125,38010.564453125,68387.73828125,138162.50390625,18284.8173828125,166823.6875,103835.6015625,117078.33203125,62685.646484375,37398.27734375,25151.0126953125,8322.732421875,10800.0078125,21299.8779296875,142741.7734375,162737.015625,156588.875,138991.08203125,98703.1259765625,94102.8935546875,76315.619140625,21548.9697265625,106988.95703125,21846.6240234375,77005.80078125
22,22,955.9659713871223,0.07892561983471073,0,0.9495849960022189,1.003169513230415,0,0,49683.09375,119447.720703125,49327.75,43177.203125,56658.462890625,44247.9228515625,48112.49609375,27806.779296875,47159.166015625,29781.423828125,28751.4716796875,25153.5234375,22623.640625,50025.041015625,43308.2421875,38480.263671875,52064.279296875,43035.466796875,48877.29296875,48946.615234375,33396.9873046875,55289.947265625,19541.875,20082.3076171875,25925.1748046875,50370.158203125,51391.53125,53455.564453125,48762.421875,59639.28125,39429.6611328125,54239.666015625,25253.9794921875,30467.7333984375,33032.22265625,29030.70703125,19370.7607421875,42334.017578125,48496.759765625,48485.216796875,40420.119140625,45655.630859375,47346.05859375,47928.275390625,29171.0419921875,26078.8662109375,25086.865234375,26730.232421875,34438.0908203125
