"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","BLANK.A_0","BLANK.A_0.5","BLANK.A_1","BLANK.A_2","BLANK.A_3","BLANK.A_4","BLANK.A_5","BLANK.A_6","BLANK.A_7","BLANK.A_8","BLANK.A_9","BLANK.A_10","BLANK.A_11","BPF.A1_0","BPF.A1_0.5","BPF.A1_1","BPF.A1_2","BPF.A1_3","BPF.A1_4","BPF.A1_5","BPF.A1_6","BPF.A1_7","BPF.A1_8","BPF.A1_9","BPF.A1_10","BPF.A2_0","BPF.A2_0.5","BPF.A2_1","BPF.A2_2","BPF.A2_3","BPF.A2_4","BPF.A2_5","BPF.A2_6","BPF.A2_7","BPF.A2_8","BPF.A2_9","BPF.A2_10","BPF.B_0","BPF.B_0.5","BPF.B_1","BPF.B_2","BPF.B_3","BPF.B_4","BPF.B_5","BPF.B_6","BPF.B_7","BPF.B_8","BPF.B_9","BPF.B_10"
10067,940.000915778517,8.10534979423865,0,1.01859652404752,1.00336435761843,0,0,104112.4765625,107173.21484375,98192.48046875,102112.171875,101212.09765625,125517.47265625,94676.7890625,152896.9375,94196.4453125,152060.4375,148771.2421875,154103.578125,151211.1875,99955.8515625,114594.13671875,103093.62109375,100188.70703125,103836.4375,93584.18359375,91322.4296875,156147.6953125,99197.34765625,154154.1015625,164277.109375,161976.0859375,98473.453125,127265.49609375,77207.736328125,102390.2421875,103205.17578125,132339.1796875,95445.921875,158159.015625,141304.953125,149127.5,135004.17578125,156366.84375,107140.421875,99978.296875,101760.625,104463.58984375,104826.953125,97103.87890625,106998.50390625,142606.921875,153869.25,154273.578125,158205.71875,155219.03125
10068,162.046372900204,1.2969387755102,0,52.141592303292,1.72503083401757,0,0,1177.63146972656,830.275207519531,1086.62567138672,376.140197753906,0,256.304901123047,611.730987548828,710.516021728516,0,0,386.559204101562,0,0,0,714.298034667969,1071.30786132812,0,371.109527587891,638.852691650391,0,432.278137207031,0,0,0,0,773.595825195312,0,773.947998046875,746.72705078125,0,295.339996337891,0,0,0,0,0,0,6416.17333984375,4755.26098632812,5883.71850585938,6694.58642578125,9021.2197265625,14753.0981445312,12832.7592773438,14696.220703125,30713.2724609375,9616.54931640625,10642.802734375,25640.0771484375
10069,122.968909950413,3.76378600823045,0,0.670882270760208,1.02934911230645,0,0,135738.84765625,123687.32421875,103329.78125,153406.95703125,107296.45703125,116052.0703125,104853.4921875,124037.29296875,104540.3125,118726.73046875,119983.23828125,118082.05078125,109215.09765625,135097.87109375,128710.25390625,135343.015625,120468.6796875,103348.44140625,101250.43359375,104339.0546875,116713.2265625,100345.84375,114003.234375,118562.65625,120377.51171875,129107.1171875,134547.4453125,122221.4140625,110716.16796875,100304.6875,113660.65234375,103469.7109375,122844.5,98942.84765625,111217.84765625,101589.34765625,112948.48046875,72726.3203125,79945.703125,72209.47265625,72069.54296875,74417.52734375,71128.80859375,72737.05859375,83672.8828125,83737.34375,81076.3828125,78256.125,83884.12109375
10076,199.804809175689,5.15775862068967,0,1.61792078329478,0.820981295924927,0,0,1149.52655029297,1816.09393310547,1209.24078369141,1006.89761352539,1580.67761230469,1278.69604492188,1829.11889648438,3867.61145019531,1949.63513183594,3490.75427246094,4547.01647949219,4599.11352539062,0,1468.71063232422,1405.30249023438,1243.21105957031,0,1051.74523925781,1834.37658691406,1696.12731933594,6375.64196777344,2168.42474365234,3439.77075195312,3858.80676269531,3461.20703125,759.378967285156,1056.28207397461,501.402923583984,967.97607421875,1057.01550292969,1610.54956054688,2045.33538818359,2340.98962402344,7441.2744140625,6985.68835449219,7844.16857910156,3080.10803222656,4034.70581054688,4448.83837890625,5416.09252929688,3585.97985839844,3821.23828125,5147.12255859375,5293.12109375,4005.90344238281,3896.78442382812,4548.65148925781,4501.67456054688,2825.40148925781
10078,160.84135936219,2.69506172839506,0,1.72151825865617,2.96592454288982e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266.65258789062,0,0,1550.04089355469,1471.65686035156,0,0,0,0,0,0,0,0,0,0,1437.39208984375,1366.16943359375,0,0,0,0,0,0,0,1913.22021484375,1525.34509277344,1989.3369140625,1537.28479003906,0
10083,500.876845092773,1.168,0,9.95618066167573e-13,9.95618066167573e-13,1,0.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.648620605469,0,0,0,0,0,0,0,0,0,0,0,1571.91430664062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10084,484.880081176758,1.12608695652174,0,1,1,1,0.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10088,323.007132620182,1.20754716981132,0,10.3601732724616,0.238347857039012,0,0,0,0,0,0,0,0,0,0,0,407.142059326172,0,0,0,0,0,0,0,0,0,0,0,0,337.398590087891,0,0,2816.17236328125,0,0,0,0,0,0,0,0,0,0,0,3995.68579101562,3657.01000976562,4092.20239257812,0,0,4590.87255859375,0,0,0,0,0,0
10094,168.836978759766,1.346,0,1054637056986.49,1019386502779.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325.20245361328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.727951049805,285.490051269531,0,0,427.346466064453
10100,331.025535776645,1.21012658227848,0,6.24787385772581,0.634847057261563,0,0,0,1179.60668945312,755.677856445312,713.844970703125,402.842590332031,869.525451660156,0,0,0,614.60498046875,0,0,0,2538.01123046875,1299.23889160156,1492.57965087891,1338.91583251953,709.672241210938,378.359558105469,392.022613525391,554.1240234375,0,0,0,0,0,1103.92272949219,701.8125,552.118408203125,839.195617675781,0,830.310485839844,0,0,0,460.835327148438,0,5318.05590820312,5079.87158203125,4734.7548828125,2120.765625,4942.5458984375,4991.51708984375,2683.39208984375,5748.32690429688,3073.71826171875,0,2515.27587890625,0
